EmpID,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
29,18-25,No,Travel_Rarely,391,Research & Development,15,Life Sciences,30,Male,Research Scientist,4,Single,19281,No,14,3,3,0,0
30,18-25,No,Travel_Rarely,996,Research & Development,3,Medical,379,Male,Research Scientist,3,Single,10531,No,17,3,4,3,1
31,18-25,Yes,Travel_Frequently,756,Sales,1,Technical Degree,478,Female,Sales Representative,2,Single,9150,Yes,11,3,3,3,1
32,18-25,No,Non-Travel,895,Sales,9,Medical,484,Male,Sales Representative,4,Single,2851,No,24,4,2,3,2
33,18-25,Yes,Travel_Rarely,156,Sales,12,Life Sciences,494,Female,Sales Representative,2,Single,25422,No,15,3,3,1,0
34,18-25,No,Travel_Rarely,1343,Sales,22,Technical Degree,669,Male,Sales Representative,3,Single,24444,No,11,3,3,3,1
35,18-25,Yes,Travel_Rarely,1427,Research & Development,18,Other,923,Female,Research Scientist,4,Single,8870,No,19,3,2,1,0
36,18-25,Yes,Travel_Rarely,1334,Research & Development,10,Life Sciences,1079,Female,Laboratory Technician,1,Single,17258,No,13,3,2,1,1
37,18-25,No,Travel_Rarely,984,Research & Development,1,Technical Degree,1131,Female,Research Scientist,2,Single,25326,Yes,11,3,4,2,2
38,18-25,Yes,Travel_Frequently,251,Research & Development,10,Life Sciences,1279,Female,Laboratory Technician,3,Single,25308,No,20,4,1,2,2
39,18-25,No,Travel_Rarely,546,Research & Development,5,Medical,1623,Male,Research Scientist,4,Single,26009,No,18,3,3,2,2
40,18-25,Yes,Travel_Rarely,337,Sales,7,Marketing,1780,Male,Sales Representative,2,Single,4567,No,13,3,3,1,1
41,18-25,No,Travel_Rarely,501,Sales,5,Medical,2021,Male,Sales Representative,1,Single,25479,Yes,11,3,3,2,1
42,18-25,No,Non-Travel,1123,Research & Development,16,Medical,22,Male,Laboratory Technician,4,Divorced,7324,Yes,13,3,2,1,0
43,18-25,No,Travel_Rarely,534,Research & Development,15,Medical,144,Female,Laboratory Technician,4,Single,23785,No,15,3,3,0,0
44,18-25,No,Travel_Rarely,594,Research & Development,2,Technical Degree,169,Male,Laboratory Technician,4,Married,19299,No,14,3,3,2,2
45,18-25,No,Travel_Rarely,1256,Research & Development,19,Medical,217,Male,Research Scientist,4,Married,11992,No,24,4,3,2,2
46,18-25,No,Travel_Rarely,1136,Research & Development,5,Life Sciences,284,Male,Research Scientist,2,Divorced,12392,Yes,16,3,2,4,2
47,18-25,No,Travel_Rarely,253,Research & Development,11,Medical,511,Female,Research Scientist,2,Married,24440,No,13,3,3,2,1
48,18-25,Yes,Travel_Frequently,1368,Research & Development,4,Technical Degree,593,Male,Laboratory Technician,3,Single,9129,No,16,3,3,2,1
49,18-25,No,Travel_Rarely,604,Research & Development,6,Medical,675,Male,Research Scientist,3,Married,12145,No,20,4,3,2,2
50,18-25,No,Travel_Rarely,1230,Research & Development,1,Life Sciences,872,Male,Manufacturing Director,4,Married,19146,No,22,4,1,2,2
51,18-25,Yes,Travel_Rarely,617,Research & Development,3,Life Sciences,926,Female,Manufacturing Director,3,Married,10022,Yes,19,3,4,3,0
52,18-25,No,Travel_Rarely,217,Research & Development,8,Life Sciences,1019,Male,Laboratory Technician,1,Married,6881,No,15,3,2,4,1
53,18-25,Yes,Travel_Frequently,1256,Research & Development,3,Life Sciences,1203,Male,Research Scientist,4,Married,4223,Yes,11,3,3,0,0
54,18-25,No,Non-Travel,457,Research & Development,26,Other,1605,Female,Research Scientist,3,Married,10293,Yes,14,3,2,4,1
55,18-25,Yes,Travel_Rarely,1294,Research & Development,8,Medical,1783,Female,Laboratory Technician,1,Married,15999,Yes,17,3,3,1,0
56,18-25,Yes,Travel_Rarely,391,Research & Development,7,Life Sciences,1878,Male,Research Scientist,2,Single,26092,Yes,23,4,3,1,0
57,18-25,No,Travel_Rarely,581,Research & Development,1,Life Sciences,2007,Male,Research Scientist,3,Single,17624,No,12,3,4,3,1
58,18-25,No,Travel_Rarely,541,Sales,2,Technical Degree,113,Male,Sales Representative,1,Divorced,9518,No,13,3,3,0,0
59,18-25,No,Travel_Rarely,1309,Research & Development,26,Life Sciences,465,Male,Research Scientist,4,Divorced,16092,No,12,3,2,4,0
60,18-25,No,Travel_Rarely,885,Research & Development,4,Medical,705,Male,Research Scientist,1,Married,8544,No,16,3,4,3,0
61,18-25,No,Travel_Rarely,650,Research & Development,9,Medical,758,Male,Laboratory Technician,1,Married,4344,No,14,3,4,4,0
62,18-25,No,Travel_Rarely,310,Research & Development,10,Medical,784,Male,Research Scientist,3,Single,19630,No,18,3,3,2,0
63,18-25,Yes,Travel_Rarely,1243,Research & Development,6,Life Sciences,811,Male,Laboratory Technician,1,Married,3445,Yes,21,4,3,0,0
64,18-25,No,Travel_Rarely,373,Research & Development,1,Life Sciences,1270,Male,Research Scientist,3,Married,16901,No,22,4,3,1,0
65,18-25,No,Travel_Rarely,507,Research & Development,20,Life Sciences,1533,Male,Laboratory Technician,3,Single,24812,No,14,3,3,4,1
66,18-25,No,Travel_Rarely,977,Research & Development,10,Technical Degree,1592,Male,Research Scientist,3,Married,12826,No,16,3,3,2,2
67,18-25,Yes,Travel_Rarely,1320,Research & Development,8,Medical,1684,Male,Laboratory Technician,3,Single,20586,Yes,11,3,3,5,1
68,18-25,Yes,Travel_Rarely,427,Sales,7,Life Sciences,1702,Male,Sales Representative,4,Divorced,25103,Yes,21,4,3,3,0
69,18-25,No,Travel_Rarely,160,Research & Development,4,Medical,1735,Female,Laboratory Technician,2,Single,12862,No,13,3,1,3,1
70,18-25,No,Travel_Rarely,571,Research & Development,12,Other,1982,Male,Laboratory Technician,4,Single,13672,No,13,3,4,5,1
71,18-25,Yes,Travel_Frequently,638,Sales,9,Marketing,2023,Male,Sales Representative,1,Married,26956,No,19,3,2,1,1
72,18-25,No,Non-Travel,673,Research & Development,11,Other,26,Female,Manufacturing Director,3,Divorced,8232,No,18,3,2,4,1
73,18-25,Yes,Travel_Rarely,813,Research & Development,1,Medical,45,Male,Research Scientist,4,Married,3020,Yes,16,3,2,2,2
74,18-25,No,Travel_Rarely,1353,Sales,3,Other,128,Female,Sales Executive,3,Married,17519,No,21,4,2,3,0
75,18-25,No,Travel_Rarely,1127,Research & Development,18,Life Sciences,150,Male,Laboratory Technician,3,Married,13257,No,12,3,3,5,1
76,18-25,No,Travel_Rarely,1371,Sales,10,Marketing,507,Female,Sales Executive,3,Divorced,5915,Yes,12,3,4,5,0
77,18-25,Yes,Travel_Rarely,1448,Sales,1,Technical Degree,554,Female,Sales Representative,2,Single,21972,Yes,16,3,3,5,1
78,18-25,No,Travel_Frequently,535,Sales,24,Medical,632,Male,Sales Representative,4,Married,5530,No,13,3,3,2,2
79,18-25,No,Travel_Rarely,691,Research & Development,23,Medical,639,Male,Research Scientist,4,Married,21630,Yes,11,3,3,6,1
80,18-25,No,Travel_Rarely,823,Research & Development,17,Other,643,Male,Laboratory Technician,2,Married,9100,No,21,4,3,1,0
81,18-25,Yes,Travel_Frequently,1287,Research & Development,7,Life Sciences,647,Female,Laboratory Technician,3,Married,14168,Yes,16,3,3,6,1
82,18-25,Yes,Travel_Rarely,693,Sales,3,Life Sciences,720,Female,Sales Executive,3,Single,24785,No,14,3,3,2,2
83,18-25,No,Non-Travel,1092,Research & Development,9,Life Sciences,812,Male,Laboratory Technician,2,Divorced,26551,No,11,3,3,1,0
84,18-25,No,Non-Travel,1269,Research & Development,4,Life Sciences,888,Male,Laboratory Technician,4,Married,10778,No,17,3,2,5,3
85,18-25,No,Travel_Rarely,1206,Research & Development,17,Medical,1009,Female,Manufacturing Director,3,Divorced,24117,No,15,3,3,4,3
86,18-25,No,Travel_Rarely,477,Research & Development,24,Medical,1173,Male,Laboratory Technician,2,Single,6409,No,22,4,3,4,1
87,18-25,Yes,Travel_Rarely,984,Research & Development,17,Life Sciences,1219,Female,Laboratory Technician,2,Married,3372,No,13,3,1,1,0
88,18-25,No,Travel_Rarely,1476,Sales,4,Medical,1445,Female,Sales Executive,3,Married,15211,Yes,12,3,3,5,0
89,18-25,Yes,Travel_Frequently,381,Research & Development,9,Medical,1494,Male,Laboratory Technician,1,Single,16998,Yes,11,3,2,0,0
90,18-25,No,Non-Travel,830,Sales,13,Life Sciences,1495,Female,Sales Representative,2,Married,7103,No,13,3,3,1,0
91,18-25,No,Travel_Rarely,350,Research & Development,21,Technical Degree,1551,Male,Laboratory Technician,1,Divorced,10036,No,14,3,3,1,0
92,18-25,No,Travel_Frequently,567,Research & Development,2,Technical Degree,1646,Female,Research Scientist,4,Single,17218,Yes,13,3,3,6,1
93,18-25,No,Travel_Rarely,581,Research & Development,9,Medical,1707,Male,Research Scientist,3,Married,17616,No,16,3,3,5,0
94,18-25,Yes,Travel_Rarely,240,Human Resources,22,Human Resources,1714,Male,Human Resources,3,Married,11585,No,11,3,3,1,0
95,18-25,No,Travel_Rarely,506,Research & Development,29,Medical,1725,Male,Laboratory Technician,1,Divorced,3622,No,13,3,4,6,1
96,18-25,No,Travel_Frequently,897,Human Resources,10,Medical,1746,Male,Human Resources,4,Married,2097,No,14,3,3,2,2
97,18-25,No,Travel_Rarely,771,Research & Development,1,Life Sciences,1981,Male,Healthcare Representative,3,Single,14120,No,12,3,2,4,1
98,18-25,Yes,Travel_Rarely,240,Sales,5,Marketing,142,Male,Sales Executive,3,Single,26959,Yes,11,3,3,6,0
99,18-25,No,Travel_Rarely,1280,Research & Development,7,Medical,143,Male,Research Scientist,4,Married,26897,No,11,3,3,2,2
100,18-25,No,Travel_Rarely,959,Sales,28,Life Sciences,183,Male,Sales Executive,3,Married,24835,No,18,3,3,2,2
101,18-25,Yes,Travel_Rarely,867,Sales,19,Marketing,952,Male,Sales Representative,2,Married,18798,Yes,18,3,3,1,0
102,18-25,No,Travel_Rarely,977,Research & Development,2,Other,1992,Male,Laboratory Technician,3,Divorced,7298,Yes,19,3,2,2,0
103,26-35,Yes,Travel_Frequently,575,Research & Development,3,Technical Degree,510,Male,Research Scientist,1,Single,6582,No,22,4,3,6,0
104,26-35,No,Travel_Rarely,1066,Research & Development,2,Medical,1018,Male,Manufacturing Director,4,Married,3334,No,12,3,3,8,1
105,26-35,No,Non-Travel,786,Research & Development,7,Medical,1693,Male,Laboratory Technician,4,Single,11925,No,20,4,3,7,5
106,26-35,No,Travel_Frequently,994,Sales,8,Life Sciences,56,Male,Sales Executive,3,Single,2975,No,15,3,3,9,1
107,26-35,No,Travel_Rarely,1469,Research & Development,1,Medical,497,Male,Laboratory Technician,2,Divorced,17881,No,11,3,3,5,0
108,26-35,No,Travel_Rarely,618,Research & Development,4,Life Sciences,933,Female,Research Scientist,3,Single,17808,No,19,3,3,1,0
109,26-35,No,Travel_Rarely,1377,Research & Development,11,Life Sciences,1434,Male,Laboratory Technician,1,Married,7679,No,14,3,4,5,1
110,26-35,No,Travel_Rarely,954,Sales,9,Marketing,1965,Male,Sales Executive,4,Single,5099,No,14,3,3,7,0
111,26-35,Yes,Travel_Rarely,1157,Research & Development,2,Medical,440,Male,Research Scientist,4,Married,24737,Yes,13,3,2,3,2
112,26-35,No,Travel_Rarely,857,Research & Development,10,Other,1097,Female,Research Scientist,3,Single,7909,No,13,3,4,8,1
113,26-35,No,Non-Travel,1476,Research & Development,1,Life Sciences,1315,Female,Laboratory Technician,4,Married,16392,No,11,3,3,9,7
114,26-35,No,Travel_Rarely,1217,Research & Development,1,Medical,1834,Female,Research Scientist,1,Married,12719,No,25,4,3,3,1
115,26-35,Yes,Travel_Rarely,121,Sales,27,Marketing,283,Female,Sales Executive,4,Married,24525,No,22,4,2,10,1
116,26-35,No,Non-Travel,746,Sales,2,Life Sciences,469,Male,Sales Executive,3,Married,16928,No,14,3,2,4,0
117,26-35,No,Travel_Rarely,1252,Research & Development,23,Life Sciences,824,Male,Research Scientist,3,Married,23779,No,24,4,3,10,0
118,26-35,No,Travel_Rarely,1010,Research & Development,1,Life Sciences,1249,Female,Research Scientist,4,Divorced,5598,No,15,3,3,3,1
119,26-35,No,Travel_Rarely,598,Research & Development,9,Life Sciences,1558,Male,Research Scientist,3,Married,22376,No,18,3,2,1,0
120,26-35,No,Travel_Rarely,726,Research & Development,29,Life Sciences,1859,Male,Healthcare Representative,3,Divorced,21143,No,17,3,3,7,1
121,26-35,No,Travel_Rarely,125,Research & Development,9,Medical,41,Male,Laboratory Technician,3,Single,16117,No,13,3,3,10,1
122,26-35,No,Non-Travel,111,Research & Development,9,Medical,239,Male,Laboratory Technician,1,Divorced,11012,No,11,3,3,12,6
123,26-35,No,Non-Travel,1400,Research & Development,3,Life Sciences,562,Male,Laboratory Technician,4,Married,16734,No,15,3,1,5,1
124,26-35,Yes,Travel_Rarely,138,Research & Development,22,Life Sciences,1004,Female,Research Scientist,3,Married,11539,Yes,11,3,3,5,0
125,26-35,No,Travel_Rarely,855,Sales,7,Marketing,1428,Female,Sales Executive,1,Divorced,12761,No,14,3,3,3,0
126,26-35,No,Travel_Rarely,305,Research & Development,16,Life Sciences,1763,Male,Healthcare Representative,3,Married,9128,No,16,3,3,7,1
127,26-35,No,Non-Travel,979,Research & Development,1,Medical,308,Male,Manufacturing Director,3,Married,4381,No,12,3,3,5,1
128,26-35,No,Travel_Rarely,1232,Research & Development,7,Medical,462,Female,Manufacturing Director,4,Single,25713,Yes,14,3,2,11,4
129,26-35,No,Travel_Rarely,154,Sales,7,Life Sciences,941,Male,Sales Representative,3,Married,11737,No,15,3,4,7,5
130,26-35,Yes,Travel_Frequently,703,Sales,2,Life Sciences,1379,Female,Sales Representative,4,Single,11882,No,14,3,4,1,0
131,26-35,No,Travel_Rarely,1112,Sales,5,Life Sciences,1673,Female,Sales Executive,4,Married,22589,No,11,3,3,10,0
132,26-35,No,Non-Travel,976,Research & Development,3,Medical,1948,Male,Research Scientist,1,Divorced,3995,Yes,13,3,4,4,2
133,26-35,No,Travel_Rarely,427,Research & Development,1,Medical,78,Male,Manufacturing Director,4,Married,10877,Yes,22,4,3,9,7
134,26-35,No,Non-Travel,976,Sales,26,Marketing,333,Male,Sales Executive,4,Married,12069,No,18,3,3,3,2
135,26-35,No,Travel_Frequently,430,Research & Development,24,Life Sciences,772,Male,Laboratory Technician,4,Married,21146,No,15,3,3,10,4
136,26-35,No,Travel_Frequently,116,Research & Development,13,Other,1234,Female,Laboratory Technician,2,Married,7331,No,20,4,3,2,2
137,26-35,Yes,Travel_Rarely,1259,Research & Development,2,Life Sciences,1692,Male,Laboratory Technician,2,Single,24852,No,12,3,3,1,0
138,26-35,No,Travel_Rarely,234,Sales,1,Medical,2013,Male,Sales Representative,2,Married,18024,No,14,3,3,2,2
139,26-35,Yes,Travel_Rarely,813,Research & Development,14,Medical,325,Male,Laboratory Technician,4,Married,22149,Yes,13,3,1,5,0
140,26-35,Yes,Travel_Frequently,1076,Research & Development,3,Life Sciences,702,Male,Research Scientist,1,Single,3164,Yes,11,3,3,10,9
141,26-35,No,Non-Travel,1038,Sales,8,Life Sciences,1044,Female,Sales Representative,4,Single,21437,No,19,3,2,2,2
142,26-35,No,Travel_Frequently,430,Sales,7,Medical,1477,Male,Sales Executive,1,Married,17456,No,14,3,3,4,0
143,26-35,No,Non-Travel,775,Research & Development,4,Technical Degree,1771,Male,Research Scientist,2,Divorced,6194,No,15,3,2,9,1
144,26-35,No,Travel_Rarely,665,Research & Development,6,Other,138,Female,Research Scientist,3,Single,12482,No,14,3,3,16,2
145,26-35,Yes,Travel_Frequently,296,Sales,6,Marketing,555,Female,Sales Representative,3,Divorced,12253,No,16,3,2,2,1
146,26-35,No,Travel_Rarely,182,Research & Development,1,Life Sciences,797,Female,Research Scientist,4,Single,13551,No,16,3,3,4,1
147,26-35,No,Travel_Rarely,1400,Sales,9,Life Sciences,1163,Female,Sales Executive,3,Married,5829,No,20,4,2,6,1
148,26-35,No,Travel_Rarely,1320,Research & Development,20,Technical Degree,1265,Female,Research Scientist,3,Married,21643,No,17,3,2,1,0
149,26-35,No,Travel_Rarely,131,Sales,2,Marketing,1281,Female,Sales Executive,1,Single,6039,Yes,12,3,3,3,0
150,26-35,No,Travel_Frequently,135,Research & Development,19,Medical,1285,Female,Laboratory Technician,2,Divorced,22534,No,13,3,4,11,5
151,26-35,No,Travel_Frequently,648,Human Resources,11,Life Sciences,1289,Male,Human Resources,2,Married,21833,No,11,3,4,10,1
152,26-35,No,Travel_Rarely,943,Research & Development,9,Life Sciences,1344,Male,Healthcare Representative,4,Divorced,5494,No,11,3,2,9,1
153,26-35,No,Travel_Rarely,507,Sales,15,Medical,1356,Female,Sales Executive,1,Single,23553,No,12,3,4,10,9
154,26-35,No,Non-Travel,999,Research & Development,26,Technical Degree,1374,Female,Research Scientist,3,Divorced,15891,No,20,4,3,5,0
155,26-35,No,Travel_Rarely,285,Research & Development,29,Medical,1377,Male,Laboratory Technician,3,Married,17491,No,13,3,3,8,7
156,26-35,No,Travel_Rarely,404,Research & Development,2,Technical Degree,1383,Female,Healthcare Representative,4,Single,6163,No,11,3,4,14,4
157,26-35,No,Travel_Frequently,560,Research & Development,1,Other,1431,Male,Research Scientist,1,Divorced,20284,No,14,3,3,4,1
158,26-35,No,Travel_Rarely,401,Research & Development,1,Life Sciences,1447,Female,Laboratory Technician,2,Married,3708,No,17,3,2,5,0
159,26-35,Yes,Travel_Rarely,1107,Human Resources,9,Technical Degree,1467,Female,Human Resources,3,Married,3072,No,15,3,3,2,2
160,26-35,No,Travel_Rarely,1326,Sales,3,Other,1478,Male,Sales Executive,1,Single,15891,No,18,3,3,13,3
161,26-35,No,Travel_Frequently,829,Research & Development,15,Medical,1485,Male,Research Director,1,Divorced,11929,No,14,3,2,14,6
162,26-35,Yes,Travel_Rarely,790,Sales,24,Medical,1489,Female,Sales Executive,2,Single,7815,Yes,23,4,4,15,10
163,26-35,No,Travel_Rarely,971,Sales,1,Technical Degree,1535,Male,Sales Executive,3,Married,12288,Yes,14,3,3,10,8
164,26-35,No,Travel_Rarely,1440,Sales,7,Technical Degree,1541,Male,Sales Representative,3,Married,4944,Yes,25,4,3,11,5
165,26-35,No,Travel_Rarely,479,Research & Development,7,Medical,1577,Male,Research Scientist,4,Single,22061,No,13,3,1,1,0
166,26-35,No,Travel_Rarely,1351,Research & Development,1,Life Sciences,1580,Male,Research Scientist,4,Married,13008,No,17,3,2,2,2
167,26-35,No,Travel_Frequently,653,Research & Development,10,Technical Degree,1597,Male,Healthcare Representative,3,Married,15332,No,14,3,2,8,7
168,26-35,No,Travel_Frequently,426,Research & Development,10,Life Sciences,1615,Male,Manufacturing Director,4,Divorced,17000,No,13,3,3,9,7
169,26-35,No,Travel_Rarely,1130,Research & Development,3,Life Sciences,1658,Female,Research Scientist,2,Divorced,19332,No,12,3,3,11,7
170,26-35,No,Travel_Rarely,1157,Research & Development,5,Medical,1696,Male,Laboratory Technician,4,Married,11912,No,14,3,4,15,4
171,26-35,No,Travel_Rarely,678,Research & Development,19,Life Sciences,1701,Female,Research Scientist,4,Married,20338,No,12,3,3,10,8
172,26-35,No,Travel_Rarely,181,Research & Development,2,Medical,1755,Male,Research Scientist,4,Married,5586,Yes,14,3,3,5,1
173,26-35,No,Non-Travel,1375,Sales,10,Life Sciences,1774,Male,Sales Executive,3,Divorced,12313,Yes,14,3,3,15,0
174,26-35,No,Travel_Rarely,511,Sales,3,Life Sciences,1779,Female,Sales Executive,4,Single,25353,No,12,3,3,2,2
175,26-35,Yes,Travel_Frequently,234,Research & Development,9,Life Sciences,1807,Male,Laboratory Technician,1,Married,6208,No,17,3,2,7,0
176,26-35,No,Travel_Rarely,810,Sales,8,Technical Degree,1823,Male,Sales Executive,3,Married,22128,No,21,4,3,10,4
177,26-35,No,Travel_Rarely,1480,Sales,4,Life Sciences,1882,Male,Sales Executive,4,Married,24444,Yes,13,3,3,5,1
178,26-35,Yes,Non-Travel,967,Research & Development,16,Technical Degree,1905,Male,Research Scientist,1,Married,14460,Yes,23,4,3,5,3
179,26-35,No,Travel_Rarely,735,Sales,3,Medical,1915,Female,Sales Executive,4,Married,16495,Yes,12,3,2,4,0
180,26-35,No,Travel_Frequently,735,Research & Development,22,Other,1932,Male,Research Scientist,4,Married,26496,Yes,15,3,3,15,6
181,26-35,No,Travel_Rarely,937,Sales,1,Marketing,1950,Male,Sales Executive,4,Single,6770,No,21,4,2,14,2
182,26-35,No,Travel_Rarely,1239,Sales,13,Medical,1951,Male,Sales Executive,3,Divorced,22914,No,18,3,2,8,1
183,26-35,No,Travel_Rarely,704,Sales,28,Marketing,2035,Female,Sales Executive,3,Married,8978,No,21,4,3,8,1
184,26-35,No,TravelRarely,628,Research & Development,8,Medical,2068,Male,Laboratory Technician,3,Married,10228,No,12,3,4,4,1
185,26-35,No,TravelRarely,628,Research & Development,8,Medical,2068,Male,Laboratory Technician,3,Married,10228,No,12,3,4,4,1
186,26-35,No,Travel_Rarely,809,Research & Development,16,Medical,14,Male,Laboratory Technician,2,Married,16479,No,13,3,3,5,0
187,26-35,No,Travel_Rarely,890,Sales,2,Marketing,49,Female,Sales Representative,4,Married,9687,No,13,3,3,2,2
188,26-35,No,Travel_Rarely,464,Research & Development,4,Other,53,Male,Laboratory Technician,4,Divorced,10910,No,12,3,3,1,0
189,26-35,No,Travel_Rarely,1229,Research & Development,8,Life Sciences,63,Male,Laboratory Technician,4,Married,4892,No,19,3,3,1,0
190,26-35,No,Non-Travel,1097,Research & Development,11,Medical,70,Male,Healthcare Representative,1,Married,8302,Yes,13,3,3,4,2
191,26-35,No,Travel_Frequently,853,Sales,18,Life Sciences,74,Male,Sales Executive,1,Married,11031,No,22,4,2,9,1
192,26-35,No,Travel_Rarely,1142,Research & Development,23,Medical,75,Female,Laboratory Technician,1,Married,16002,Yes,15,3,3,2,2
193,26-35,No,Travel_Frequently,664,Research & Development,1,Medical,88,Male,Research Scientist,1,Married,5868,No,13,3,2,3,1
194,26-35,No,Travel_Rarely,776,Sales,1,Marketing,100,Male,Sales Executive,1,Single,23016,No,14,3,3,15,2
195,26-35,No,Travel_Rarely,1214,Research & Development,1,Medical,105,Male,Research Scientist,3,Single,26278,No,18,3,3,6,0
196,26-35,No,Travel_Rarely,662,Sales,1,Marketing,204,Male,Sales Executive,2,Married,11439,No,13,3,3,10,0
197,26-35,Yes,Travel_Rarely,556,Research & Development,23,Life Sciences,261,Male,Manufacturing Director,3,Married,15497,Yes,13,3,3,1,0
198,26-35,No,Travel_Frequently,138,Research & Development,2,Medical,269,Female,Laboratory Technician,2,Single,15986,No,11,3,3,6,1
199,26-35,No,Travel_Frequently,944,Sales,1,Marketing,314,Female,Sales Executive,3,Single,9096,No,14,3,4,10,0
200,26-35,No,Travel_Rarely,1315,Research & Development,22,Life Sciences,381,Female,Manager,2,Divorced,19100,No,18,3,2,7,6
201,26-35,No,Travel_Rarely,1232,Sales,16,Marketing,406,Male,Sales Executive,2,Married,5100,No,15,3,2,11,6
202,26-35,No,Travel_Rarely,1296,Research & Development,5,Technical Degree,464,Male,Manufacturing Director,2,Single,18264,No,13,3,3,16,0
203,26-35,No,Travel_Rarely,755,Research & Development,9,Life Sciences,496,Male,Healthcare Representative,2,Single,19394,No,19,3,3,1,0
204,26-35,No,Travel_Rarely,144,Research & Development,22,Life Sciences,577,Male,Laboratory Technician,3,Single,19225,No,15,3,3,5,4
205,26-35,No,Travel_Rarely,1276,Research & Development,16,Life Sciences,586,Male,Healthcare Representative,3,Married,14295,Yes,12,3,3,8,0
206,26-35,No,Travel_Rarely,619,Sales,1,Marketing,600,Male,Sales Executive,3,Married,18659,No,11,3,3,11,6
